date,sector,energy_type,value_trillion_btu
1977-03-01 0:00,residential,biomass,46.014
1977-05-01 0:00,residential,biomass,46.014
1977-07-01 0:00,residential,biomass,46.014
1977-08-01 0:00,residential,biomass,46.014
1977-10-01 0:00,residential,biomass,46.014
1977-12-01 0:00,residential,biomass,46.014
2019-01-01 0:00,residential,biomass,46.494
2019-03-01 0:00,residential,biomass,46.494
2019-05-01 0:00,residential,biomass,46.494
2019-07-01 0:00,residential,biomass,46.494
2019-08-01 0:00,residential,biomass,46.494
2019-10-01 0:00,residential,biomass,46.494
2019-12-01 0:00,residential,biomass,46.494
1993-01-01 0:00,residential,biomass,46.712
1993-03-01 0:00,residential,biomass,46.712
1993-05-01 0:00,residential,biomass,46.712
1993-07-01 0:00,residential,biomass,46.712
1993-08-01 0:00,residential,biomass,46.712
1993-10-01 0:00,residential,biomass,46.712
1993-12-01 0:00,residential,biomass,46.712
1991-02-01 0:00,residential,biomass,46.795
2013-04-01 0:00,residential,biomass,46.985
2013-06-01 0:00,residential,biomass,46.985
2013-09-01 0:00,residential,biomass,46.985
2013-11-01 0:00,residential,biomass,46.985
2014-04-01 0:00,residential,biomass,47.551
2014-06-01 0:00,residential,biomass,47.551
2014-09-01 0:00,residential,biomass,47.551
2014-11-01 0:00,residential,biomass,47.551
1990-04-01 0:00,residential,biomass,47.671
1990-06-01 0:00,residential,biomass,47.671
1990-09-01 0:00,residential,biomass,47.671
1990-11-01 0:00,residential,biomass,47.671
1978-02-01 0:00,residential,biomass,47.703
2013-01-01 0:00,residential,biomass,48.551
2013-03-01 0:00,residential,biomass,48.551
2013-05-01 0:00,residential,biomass,48.551
2013-07-01 0:00,residential,biomass,48.551
2013-08-01 0:00,residential,biomass,48.551
2013-10-01 0:00,residential,biomass,48.551
2013-12-01 0:00,residential,biomass,48.551
2014-01-01 0:00,residential,biomass,49.136
2014-03-01 0:00,residential,biomass,49.136
2014-05-01 0:00,residential,biomass,49.136
2014-07-01 0:00,residential,biomass,49.136
2014-08-01 0:00,residential,biomass,49.136
2014-10-01 0:00,residential,biomass,49.136
2014-12-01 0:00,residential,biomass,49.136
1990-01-01 0:00,residential,biomass,49.26
1990-03-01 0:00,residential,biomass,49.26
1990-05-01 0:00,residential,biomass,49.26
1990-07-01 0:00,residential,biomass,49.26
1990-08-01 0:00,residential,biomass,49.26
1990-10-01 0:00,residential,biomass,49.26
1990-12-01 0:00,residential,biomass,49.26
1991-04-01 0:00,residential,biomass,50.137
1991-06-01 0:00,residential,biomass,50.137
1991-09-01 0:00,residential,biomass,50.137
1991-11-01 0:00,residential,biomass,50.137
1992-02-01 0:00,residential,biomass,50.71
1978-04-01 0:00,residential,biomass,51.111
1978-06-01 0:00,residential,biomass,51.111
1978-09-01 0:00,residential,biomass,51.111
1978-11-01 0:00,residential,biomass,51.111
1991-01-01 0:00,residential,biomass,51.808
1991-03-01 0:00,residential,biomass,51.808
1991-05-01 0:00,residential,biomass,51.808
1991-07-01 0:00,residential,biomass,51.808
1991-08-01 0:00,residential,biomass,51.808
1991-10-01 0:00,residential,biomass,51.808
1991-12-01 0:00,residential,biomass,51.808
1992-04-01 0:00,residential,biomass,52.459
1992-06-01 0:00,residential,biomass,52.459
1992-09-01 0:00,residential,biomass,52.459
1992-11-01 0:00,residential,biomass,52.459
1978-01-01 0:00,residential,biomass,52.815
1978-03-01 0:00,residential,biomass,52.815
1978-05-01 0:00,residential,biomass,52.815
1978-07-01 0:00,residential,biomass,52.815
1978-08-01 0:00,residential,biomass,52.815
1978-10-01 0:00,residential,biomass,52.815
1978-12-01 0:00,residential,biomass,52.815
1992-01-01 0:00,residential,biomass,54.208
1992-03-01 0:00,residential,biomass,54.208
1992-05-01 0:00,residential,biomass,54.208
1992-07-01 0:00,residential,biomass,54.208
1992-08-01 0:00,residential,biomass,54.208
1992-10-01 0:00,residential,biomass,54.208
1992-12-01 0:00,residential,biomass,54.208
1979-02-01 0:00,residential,biomass,55.852
1979-04-01 0:00,residential,biomass,59.842
1979-06-01 0:00,residential,biomass,59.842
1979-09-01 0:00,residential,biomass,59.842
1979-11-01 0:00,residential,biomass,59.842
1979-01-01 0:00,residential,biomass,61.837
1979-03-01 0:00,residential,biomass,61.837
1979-05-01 0:00,residential,biomass,61.837
1979-07-01 0:00,residential,biomass,61.837
1979-08-01 0:00,residential,biomass,61.837
1979-10-01 0:00,residential,biomass,61.837
1979-12-01 0:00,residential,biomass,61.837
1987-02-01 0:00,residential,biomass,65.205
1981-02-01 0:00,residential,biomass,66.74
1980-02-01 0:00,residential,biomass,67.35
1980-04-01 0:00,residential,biomass,69.672
1980-06-01 0:00,residential,biomass,69.672
1980-09-01 0:00,residential,biomass,69.672
1980-11-01 0:00,residential,biomass,69.672
1987-04-01 0:00,residential,biomass,69.863
1987-06-01 0:00,residential,biomass,69.863
1987-09-01 0:00,residential,biomass,69.863
1987-11-01 0:00,residential,biomass,69.863
1986-02-01 0:00,residential,biomass,70.575
1989-02-01 0:00,residential,biomass,70.575
1981-04-01 0:00,residential,biomass,71.507
1981-06-01 0:00,residential,biomass,71.507
1981-09-01 0:00,residential,biomass,71.507
1981-11-01 0:00,residential,biomass,71.507
1980-01-01 0:00,residential,biomass,71.995
1980-03-01 0:00,residential,biomass,71.995
1980-05-01 0:00,residential,biomass,71.995
1980-07-01 0:00,residential,biomass,71.995
1980-08-01 0:00,residential,biomass,71.995
1980-10-01 0:00,residential,biomass,71.995
1980-12-01 0:00,residential,biomass,71.995
1988-02-01 0:00,residential,biomass,72.104
1987-01-01 0:00,residential,biomass,72.192
1987-03-01 0:00,residential,biomass,72.192
1987-05-01 0:00,residential,biomass,72.192
